"","passer_Id","time_pass","shooter","time_receive","time_shot","quarter","shot_result","assist_status","time_to_shoot"
"1","Reggie Jackson",710.5,"Marcus Morris",709.8,705.3,1,"MISS","NO",4.5
"2","Kentavious Caldwell-Pope",696.5,"Andre Drummond",693.6,692.5,1,"MISS","NO",1.10000000000002
"3","Victor Oladipo",674.7,"Nikola Vucevic",674,670.4,1,"MAKE","YES",3.60000000000002
"4","Kentavious Caldwell-Pope",648.2,"Ersan Ilyasova",646.6,645.9,1,"MAKE","YES",0.700000000000045
"5","Kentavious Caldwell-Pope",618.6,"Reggie Jackson",617.2,614.6,1,"MAKE","NO",2.60000000000002
"6","Tobias Harris",601.6,"Nikola Vucevic",600.9,595.9,1,"MAKE","NO",5
"7","Reggie Jackson",583.2,"Ersan Ilyasova",582.7,582.1,1,"MISS","NO",0.600000000000023
"8","Ersan Ilyasova",554.8,"Kentavious Caldwell-Pope",553.4,552.6,1,"MAKE","YES",0.799999999999955
"9","Evan Fournier",534.4,"Nikola Vucevic",532.4,531.3,1,"MAKE","YES",1.10000000000002
"10","Reggie Jackson",516.2,"Kentavious Caldwell-Pope",515.3,512.4,1,"MAKE","NO",2.89999999999998
"11","Tobias Harris",502.3,"Evan Fournier",501,500.5,1,"MISS","NO",0.5
"12","Evan Fournier",490.4,"Nikola Vucevic",486.8,486.3,1,"MISS","NO",0.5
"13","Victor Oladipo",466.7,"Tobias Harris",465.9,464,1,"MISS","NO",1.89999999999998
"14","Reggie Jackson",459.9,"Andre Drummond",459.1,456.5,1,"MAKE","YES",2.60000000000002
"15","Ersan Ilyasova",428.9,"Reggie Jackson",427.7,423.1,1,"MAKE","NO",4.59999999999997
"16","Victor Oladipo",405.1,"Channing Frye",404.4,404,1,"MISS","NO",0.399999999999977
"17","Marcus Morris",392.6,"Ersan Ilyasova",391.6,391,1,"MISS","NO",0.600000000000023
"18","Evan Fournier",365.5,"Tobias Harris",363.8,363.3,1,"MISS","NO",0.5
"19","Reggie Jackson",355.6,"Andre Drummond",354.7,354.7,1,"MAKE","YES",0
"20","Shabazz Napier",333,"Nikola Vucevic",332.3,331.9,1,"MISS","NO",0.400000000000034
"21","Reggie Jackson",322.3,"Andre Drummond",321.9,321.8,1,"MAKE","YES",0.0999999999999659
"22","Shabazz Napier",307.3,"Victor Oladipo",306.6,305.9,1,"MISS","NO",0.700000000000045
"23","No Pass",0,"0",0,0,0,"0","0",0
"24","Shabazz Napier",244.9,"Andrew Nicholson",242.9,242.7,1,"MAKE","YES",0.200000000000017
"25","Ersan Ilyasova",223.3,"Reggie Jackson",222.2,221.7,1,"MISS","NO",0.5
"26","Nikola Vucevic",208.8,"Andrew Nicholson",207.7,202.4,1,"MAKE","NO",5.29999999999998
"27","Reggie Jackson",189.3,"Andre Drummond",188.7,188.5,1,"MAKE","YES",0.199999999999989
"28","Nikola Vucevic",166.8,"Shabazz Napier",166.1,165.4,1,"MAKE","YES",0.699999999999989
"29","Reggie Jackson",143.7,"Stanley Johnson",142.9,142.5,1,"MAKE","YES",0.400000000000006
