"","Shooter","Shooter_Position","Shooter_Team","Shot_X","Shot_Y","Shot_angle","Shot_Distance","Shot_Result","Defender_Distance","Num_Defenders","Defender","Defender_Position","Defender_Team"
"1","Marcus Morris","F","1610612765",88.1365033333333,41.7702833333333,31.0816946394904,17,0,4.41040028450421,0,"Tobias Harris","F","1610612753"
"2","Andre Drummond","C","1610612765",82.1189766666667,22.38659,32.3008072454572,4,0,2.4793777279995,2,"Nikola Vucevic","C","1610612753"
"3","Nikola Vucevic","C","1610612753",5.3314,32.237585,51.5825764466012,7,2,3.82459496359092,1,"Andre Drummond","C","1610612765"
"4","Ersan Ilyasova","F","1610612765",88.0999,36.46612,41.4827636268667,9,2,3.31949533776221,1,"Nikola Vucevic","C","1610612753"
"5","Reggie Jackson","G","1610612765",74.6468166666667,15.9190833333333,37.534272147235,13,2,1.83155761169129,1,"Victor Oladipo","G","1610612753"
"6","Nikola Vucevic","C","1610612753",13.626215,24.043415,38.4413208360956,6,2,2.69906792184358,1,"Andre Drummond","C","1610612765"
"7","Ersan Ilyasova","F","1610612765",69.0247666666667,7.24823333333333,31.1979531798263,25,0,5.9184755405472,0,"Channing Frye","F","1610612753"
"8","Kentavious Caldwell-Pope","G","1610612765",72.336375,6.276595,29.705584661569,26,3,7.38942193903725,0,"Tobias Harris","F","1610612753"
"9","Nikola Vucevic","C","1610612753",6.75861,8.33618,40.1998614229074,17,2,5.92223165978839,0,"Andre Drummond","C","1610612765"
"10","Kentavious Caldwell-Pope","G","1610612765",67.625165,38.05837,33.884205299689,25,3,4.72611442531019,0,"Evan Fournier","F","1610612753"
"11","Evan Fournier","F","1610612753",19.14662,47.0757233333333,30.0843174266025,25,0,4.82133115839852,0,"Kentavious Caldwell-Pope","G","1610612765"
"12","Nikola Vucevic","C","1610612753",5.92848666666667,20.8143466666667,26.2654566151112,0,0,2.41826409773852,1,"Andre Drummond","C","1610612765"
"13","Tobias Harris","F","1610612753",7.99806,19.85412,39.5934712832208,2,0,1.5595079515917,1,"Marcus Morris","F","1610612765"
"14","Andre Drummond","C","1610612765",90.36991,20.01418,79.7390812215096,0,2,2.2475678695926,1,"Tobias Harris","F","1610612753"
"15","Reggie Jackson","G","1610612765",72.490685,19.814855,35.3392318265888,12,2,3.62234070010332,1,"Victor Oladipo","G","1610612753"
"16","Channing Frye","F","1610612753",18.96477,5.46200333333333,29.9053074667144,26,0,5.77199804821713,0,"Ersan Ilyasova","F","1610612765"
"17","Ersan Ilyasova","F","1610612765",69.50878,10.3389666666667,34.2971550786517,25,0,6.45139324136437,0,"Evan Fournier","F","1610612753"
"18","Tobias Harris","F","1610612753",5.84637,32.15167,56.3380374875711,8,0,2.15654136859231,1,"Reggie Jackson","G","1610612765"
"19","Andre Drummond","C","1610612765",80.0149833333333,25.7318966666667,19.9000760388625,6,2,3.42494326850173,1,"Nikola Vucevic","C","1610612753"
"20","Nikola Vucevic","C","1610612753",16.443985,8.364605,35.4524317762386,17,0,5.5220536162034,0,"Andre Drummond","C","1610612765"
"21","Andre Drummond","C","1610612765",86.3351733333333,23.0435,5.38603674959583,0,2,3.39246484881001,1,"Nikola Vucevic","C","1610612753"
"22","Victor Oladipo","G","1610612753",21.67427,33.275395,32.1615092394716,20,0,4.35951311768298,0,"Reggie Jackson","G","1610612765"
"23","Marcus Morris","F","1610612765",80.1105733333333,12.6761133333333,25.9580432487293,13,0,4.6111962345891,0,"Tobias Harris","F","1610612753"
"24","Andrew Nicholson","F","1610612753",23.0366066666667,6.04828666666667,31.947564325093,26,3,9.43532734990101,0,"Ersan Ilyasova","F","1610612765"
"25","Reggie Jackson","G","1610612765",62.669925,29.000605,32.9040949412316,27,0,4.82005033699856,0,"Shabazz Napier","G","1610612753"
"26","Andrew Nicholson","F","1610612753",6.39578333333333,17.39621,21.573768728421,7,2,2.51809594050743,1,"Ersan Ilyasova","F","1610612765"
"27","Andre Drummond","C","1610612765",86.69418,24.6837466666667,69.7137510146801,0,2,3.85204592623193,1,"Shabazz Napier","G","1610612753"
"28","Shabazz Napier","G","1610612753",20.25887,6.26868333333333,24.557810424828,26,3,3.64110899145514,1,"Reggie Jackson","G","1610612765"
"29","Stanley Johnson","F","1610612765",65.1905033333333,34.32954,25.7023450870707,25,3,5.27209881880184,0,"Victor Oladipo","G","1610612753"
"30","Victor Oladipo","G","1610612753",10.186005,24.35478,35.9823174796972,0,2,3.92610366144986,1,"Stanley Johnson","F","1610612765"
"31","Reggie Jackson","G","1610612765",79.234975,12.807675,34.0133657239742,9,0,2.36815847552482,1,"Shabazz Napier","G","1610612753"
"32","Andre Drummond","C","1610612765",86.088695,21.919985,35.4754684404692,0,2,1.33046465605066,2,"Victor Oladipo","G","1610612753"
"33","Ersan Ilyasova","F","1610612765",73.70787,5.51662,33.8596402281067,26,3,7.26181777319047,0,"Andrew Nicholson","F","1610612753"
"34","Victor Oladipo","G","1610612753",5.23977333333333,23.3526366666667,47.3106632305461,1,2,1.76849552068669,1,"Andre Drummond","C","1610612765"
"35","Stanley Johnson","F","1610612765",63.4772233333333,13.80339,30.4270785030831,26,0,5.97538341570839,0,"Aaron Gordon","F","1610612753"
"36","Shabazz Napier","G","1610612753",25.39324,39.46581,31.4524282781513,26,0,5.04388633573607,0,"Brandon Jennings","G","1610612765"
"37","Jason Smith","F-C","1610612753",24.008395,27.294735,32.0334758570696,18,2,8.35564343082716,0,"Kentavious Caldwell-Pope","G","1610612765"
"38","Jason Smith","F-C","1610612753",4.914715,29.34488,53.4603866126884,1,0,3.89406915297161,1,"Anthony Tolliver","F","1610612765"
"39","Stanley Johnson","F","1610612765",86.56099,47.910055,27.6926001469822,22,3,7.42747437365152,0,"Mario Hezonja","G-F","1610612753"
"40","Mario Hezonja","G-F","1610612753",8.15496333333333,25.7370066666667,43.907388019499,0,0,3.21052510813692,1,"Kentavious Caldwell-Pope","G","1610612765"
"41","Anthony Tolliver","F","1610612765",86.182305,48.3733,27.1735082209719,23,3,9.79226660749823,0,"Jason Smith","F-C","1610612753"
