"","Shooter","Shooter_Position","Shooter_Team","Shot_X","Shot_Y","Shot_angle","Shot_Distance","Shot_Result","Defender_Distance","Num_Defenders","Defender","Defender_Position","Defender_Team"
"1","Clint Capela","F-C","1610612745",3.764075,21.38064,47.1904747540301,3,2,0.1534471062777,1,"Timofey Mozgov","C","1610612739"
"2","LeBron James","F","1610612739",88.1057666666667,24.4405366666667,20.0900987351365,2,2,1.64553166468403,1,"Clint Capela","F-C","1610612745"
"3","Dwight Howard","C","1610612745",12.2415366666667,38.9064766666667,NA,6,2,1.94114404691895,1,"Kyrie Irving","G","1610612739"
"4","J.R. Smith","G-F","1610612739",82.53707,30.104095,41.9314657488169,8,2,4.01669290202775,0,"Dwight Howard","C","1610612745"
"5","Trevor Ariza","F","1610612745",16.52531,3.12523,30.848553451673,25,3,5.74077581259058,0,"LeBron James","F","1610612739"
"6","LeBron James","F","1610612739",63.821565,20.412225,28.4218620725386,25,0,6.97650559781363,0,"Clint Capela","F-C","1610612745"
"7","Patrick Beverley","G","1610612745",22.62713,32.51639,36.6957783024269,18,0,4.57068178962942,0,"Kyrie Irving","G","1610612739"
"8","LeBron James","F","1610612739",70.29723,42.9997533333333,28.6590261032,25,3,8.32862188682964,0,"Patrick Beverley","G","1610612745"
"9","Dwight Howard","C","1610612745",5.51329,26.27442,NA,2,0,3.09437304698787,2,"LeBron James","F","1610612739"
"10","J.R. Smith","G-F","1610612739",87.7681333333333,2.12156666666667,33.2922203260771,23,3,8.12678678451699,0,"Trevor Ariza","F","1610612745"
"11","Trevor Ariza","F","1610612745",20.07459,6.092605,30.9474378293765,25,0,8.6793696151924,0,"Timofey Mozgov","C","1610612739"
"12","Timofey Mozgov","C","1610612739",74.44466,24.62585,10.5809257301199,1,0,1.8043122726194,1,"Trevor Ariza","F","1610612745"
"13","Kevin Love","F","1610612739",76.4764,12.674685,33.5561364117861,15,0,4.71844585568702,0,"Terrence Jones","F","1610612745"
"14","James Harden","G","1610612745",30.04657,32.51741,29.4396963481317,25,0,4.83472265114039,0,"J.R. Smith","G-F","1610612739"
"15","Trevor Ariza","F","1610612745",10.478045,20.61483,34.3202225444884,3,0,2.02607241803569,3,"Kevin Love","F","1610612739"
"16","Kevin Love","F","1610612739",71.87312,43.1729433333333,29.2831431275169,25,3,11.0109186195405,0,"James Harden","G","1610612745"
"17","James Harden","G","1610612745",6.87212,24.440725,66.6793760986347,3,0,1.26810502500779,1,"Timofey Mozgov","C","1610612739"
"18","J.R. Smith","G-F","1610612739",77.5814166666667,47.27763,31.0951898431273,25,0,5.7467340089113,0,"Terrence Jones","F","1610612745"
"19","Patrick Beverley","G","1610612745",7.89242333333333,12.12052,31.0171339633319,10,0,6.51292004035909,0,"Timofey Mozgov","C","1610612739"
"20","Kevin Love","F","1610612739",64.5241666666667,20.2058566666667,34.8595651901487,24,0,6.31248806994164,0,"Patrick Beverley","G","1610612745"
"21","Patrick Beverley","G","1610612745",11.4795666666667,2.27659,30.2437166277405,24,0,9.23563438141937,0,"Kevin Love","F","1610612739"
"22","J.R. Smith","G-F","1610612739",86.12906,21.14161,40.5010636825437,2,2,4.84622638268054,0,"Patrick Beverley","G","1610612745"
"23","James Harden","G","1610612745",30.77228,25.3902833333333,31.9647127604755,24,0,5.86136296985702,0,"Iman Shumpert","G","1610612739"
"24","Clint Capela","F-C","1610612745",5.74286,25.53712,81.6453782142526,2,0,2.30337212113566,2,"LeBron James","F","1610612739"
"25","Iman Shumpert","G","1610612739",83.487815,40.04778,40.7120527711463,17,0,5.46536362478519,0,"Terrence Jones","F","1610612745"
"26","Anderson Varejao","F","1610612739",82.7602133333333,27.4190833333333,23.5013565037601,7,0,1.39760595954495,1,"Terrence Jones","F","1610612745"
"27","Richard Jefferson","F","1610612739",70.63136,8.87360333333333,31.8026181946007,25,3,4.12621522526529,0,"Corey Brewer","G-F","1610612745"
