"","player","global_ID","player_ID","team","team_abr","team_code","position_name","position_code","jersey_number","experience","rookie_year","birth_year","college","height_inch","weight_lbs"
"1","Kyle Korver","58293","3754","Atlanta Hawks","ATL","1","Shooting Guard","2","26","13","2003","1981","Creighton","79","212"
"2","Dwight Howard","253975","3818","Atlanta Hawks","ATL","1","Center","9","8","12","2004","1985","None","83","265"
"3","Kris Humphries","229649","3831","Atlanta Hawks","ATL","1","Power Forward","6","43","12","2004","1985","Minnesota","81","235"
"4","Jarrett Jack","178537","3948","Atlanta Hawks","ATL","1","Point Guard","1","2","11","2005","1983","Georgia Tech","75","200"
"5","Thabo Sefolosha","329187","4141","Atlanta Hawks","ATL","1","Small Forward","5","25","10","2006","1984","None","79","220"
"6","Paul Millsap","237675","4175","Atlanta Hawks","ATL","1","Power Forward","6","4","10","2006","1985","Louisiana Tech","80","246"
"7","Tiago Splitter","393436","4306","Atlanta Hawks","ATL","1","Center","9","11","6","2010","1985","None","83","245"
"8","Mike Scott","398034","5077","Atlanta Hawks","ATL","1","Power Forward","6","32","4","2012","1988","Virginia","80","237"
"9","Kent Bazemore","410764","5102","Atlanta Hawks","ATL","1","Small Forward","5","24","4","2012","1989","Old Dominion","77","201"
"10","Dennis Schroder","739958","5187","Atlanta Hawks","ATL","1","Point Guard","1","17","3","2013","1993","None","73","172"
"11","Tim Hardaway Jr.","551771","5194","Atlanta Hawks","ATL","1","Shooting Guard","2","10","3","2013","1992","Michigan","78","205"
"12","Mike Muscala","520388","5214","Atlanta Hawks","ATL","1","Center","9","31","3","2013","1991","Bucknell","83","240"
"13","Walter Tavares","830651","5354","Atlanta Hawks","ATL","1","Center","9","22","1","2015","1992","None","87","265"
"14","Taurean Prince","696209","5643","Atlanta Hawks","ATL","1","Small Forward","5","12","0","2016","1994","Baylor","80","220"
"15","DeAndre' Bembry","795428","5652","Atlanta Hawks","ATL","1","Small Forward","5","21","0","2016","1994","St. Joseph's","78","210"
"16","Malcolm Delaney","401629","5696","Atlanta Hawks","ATL","1","Shooting Guard","2","19","0","2016","1989","Virginia Tech","75","190"
"17","Matt Costello","712592","5718","Atlanta Hawks","ATL","1","Power Forward","6","37","0","2016","1993","Michigan State","81","245"
"18","Gerald Green","292391","3944","Boston Celtics","BOS","2","Shooting Guard","2","30","9","2005","1986","None","80","205"
"19","Amir Johnson","292407","3982","Boston Celtics","BOS","2","Power Forward","6","90","11","2005","1987","None","81","249"
"20","Al Horford","280587","4245","Boston Celtics","BOS","2","Center","9","42","9","2007","1986","Florida","82","245"
"21","Jonas Jerebko","503807","4644","Boston Celtics","BOS","2","Power Forward","6","8","6","2009","1987","None","82","231"
"22","Avery Bradley","513607","4750","Boston Celtics","BOS","2","Shooting Guard","2","0","6","2010","1990","Texas","74","180"
"23","Isaiah Thomas","457605","4942","Boston Celtics","BOS","2","Point Guard","1","4","5","2011","1989","Washington","69","185"
"24","Tyler Zeller","462461","5023","Boston Celtics","BOS","2","Center","9","44","4","2012","1990","North Carolina","84","250"
"25","Jae Crowder","552381","5068","Boston Celtics","BOS","2","Small Forward","5","99","4","2012","1990","Marquette","78","235"
"26","Kelly Olynyk","514882","5164","Boston Celtics","BOS","2","Center","9","41","3","2013","1991","Gonzaga","84","238"
"27","Marcus Smart","697132","5317","Boston Celtics","BOS","2","Point Guard","1","36","2","2014","1994","Oklahoma State","76","220"
"28","James Young","786406","5328","Boston Celtics","BOS","2","Shooting Guard","2","13","2","2014","1995","Kentucky","78","215"
"29","John Holland","409834","5408","Boston Celtics","BOS","2","Shooting Guard","2","39","0","2015","1988","Boston University","77","205"
"30","Terry Rozier","786293","5476","Boston Celtics","BOS","2","Point Guard","1","12","1","2015","1994","Louisville","73","190"
"31","R.J. Hunter","691716","5488","Boston Celtics","BOS","2","Shooting Guard","2","28","1","2015","1993","Georgia State","78","190"
"32","Jordan Mickey","745825","5493","Boston Celtics","BOS","2","Power Forward","6","55","1","2015","1994","LSU","80","235"
"33","Jaylen Brown","883436","5602","Boston Celtics","BOS","2","Small Forward","5","7","0","2016","1996","California","79","225"
"34","Guerschon Yabusele","920087","5647","Boston Celtics","BOS","2","Power Forward","6","16","0","2016","1995","None","80","270"
"35","Ante Zizic","920089","5654","Boston Celtics","BOS","2","Center","9","23","0","2016","1997","None","84","249"
