game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021500514,2015-2016 Regular Season,1/4/2016,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,0:12:00,0:00:00,0:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021500514,2015-2016 Regular Season,1/4/2016,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,0:12:00,0:00:00,0:00:00,1,DET,jump ball,,Nikola Vucevic,Andre Drummond,,,,,,,Andre Drummond,,Ersan Ilyasova,,,,jump ball,,,,,,Jump Ball Drummond vs. Vucevic: Tip to Ilyasova
0021500514,2015-2016 Regular Season,1/4/2016,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,0:11:42,0:00:18,0:00:18,2,DET,miss,,,,,,,,,,Marcus Morris,0,,,missed,,Jump Shot,17,171,-1,42.1,89.1,MISS Marc Morris 17' Jump Shot
0021500514,2015-2016 Regular Season,1/4/2016,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,0:11:42,0:00:18,0:00:00,3,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PISTONS Rebound
0021500514,2015-2016 Regular Season,1/4/2016,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,0:11:29,0:00:31,0:00:13,4,DET,miss,,,,,,,,,,Andre Drummond,0,,,missed,,Hook Shot,4,9,38,25.9,85.2,MISS Drummond 4' Hook Shot
0021500514,2015-2016 Regular Season,1/4/2016,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,0:11:29,0:00:31,0:00:00,5,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
0021500514,2015-2016 Regular Season,1/4/2016,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,2,0,0:11:06,0:00:54,0:00:23,6,ORL,shot,Victor Oladipo,,,,,,,,,Nikola Vucevic,2,,,made,,Jump Shot,7,-65,0,31.5,5,Vucevic 7' Jump Shot (2 PTS) (Oladipo 1 AST)
0021500514,2015-2016 Regular Season,1/4/2016,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,2,2,0:10:39,0:01:21,0:00:27,7,DET,shot,Kentavious Caldwell-Pope,,,,,,,,,Ersan Ilyasova,2,,,made,,Jump Shot,9,89,-1,33.9,89.1,Ilyasova 9' Jump Shot (2 PTS) (Caldwell-Pope 1 AST)
0021500514,2015-2016 Regular Season,1/4/2016,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,2,2,0:10:25,0:01:35,0:00:14,8,ORL,turnover,,,,,,,,,,Evan Fournier,,,lost ball ,,Ersan Ilyasova,lost ball ,,,,,,"Fournier Lost Ball Turnover (P1.T1), Ilyasova STEAL (1 STL)"
0021500514,2015-2016 Regular Season,1/4/2016,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,2,4,0:10:10,0:01:50,0:00:15,9,DET,shot,,,,,,,,,,Reggie Jackson,2,,,made,,Jump Shot,13,-74,101,17.6,78.9,Jackson 13' Jump Shot (2 PTS)
