game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021500601""",2015-2016 Regular Season,2016-01-15,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Kyrie Irving,Trevor Ariza,Clint Capela,Dwight Howard,James Harden,Patrick Beverley,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021500601""",2015-2016 Regular Season,2016-01-15,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Kyrie Irving,Trevor Ariza,Clint Capela,Dwight Howard,James Harden,Patrick Beverley,1,0,0,00:12:00,00:00:00,00:00:00,1,HOU,jump ball,,Timofey Mozgov,Dwight Howard,,,,,,,Dwight Howard,,Clint Capela,,,,jump ball,,,,,,Jump Ball Howard vs. Mozgov: Tip to Capela
"=""0021500601""",2015-2016 Regular Season,2016-01-15,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Kyrie Irving,Trevor Ariza,Clint Capela,Dwight Howard,James Harden,Patrick Beverley,1,0,0,00:11:34,00:00:26,00:00:26,2,HOU,miss,,,,,,,,,,James Harden,0,,,missed,,Jump Shot,25,159,195,40.9,69.5,MISS Harden 25' 3PT Jump Shot
"=""0021500601""",2015-2016 Regular Season,2016-01-15,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Kyrie Irving,Trevor Ariza,Clint Capela,Dwight Howard,James Harden,Patrick Beverley,1,0,0,00:11:34,00:00:26,00:00:00,3,HOU,rebound,,,,,,,,,,Patrick Beverley,,,,,,rebound offensive,,,,,,Beverley REBOUND (Off:1 Def:0)
"=""0021500601""",2015-2016 Regular Season,2016-01-15,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Kyrie Irving,Trevor Ariza,Clint Capela,Dwight Howard,James Harden,Patrick Beverley,1,0,2,00:11:33,00:00:27,00:00:01,4,HOU,shot,,,,,,,,,,Patrick Beverley,2,,,made,,Putback Layup,2,-20,-1,23.0,89.1,Beverley 2' Putback Layup (2 PTS)
"=""0021500601""",2015-2016 Regular Season,2016-01-15,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Kyrie Irving,Trevor Ariza,Clint Capela,Dwight Howard,James Harden,Patrick Beverley,1,0,2,00:11:23,00:00:37,00:00:10,5,CLE,turnover,,,,,,,,,,LeBron James,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,James Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021500601""",2015-2016 Regular Season,2016-01-15,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Kyrie Irving,Trevor Ariza,Clint Capela,Dwight Howard,James Harden,Patrick Beverley,1,0,4,00:11:07,00:00:53,00:00:16,6,HOU,shot,James Harden,,,,,,,,,Clint Capela,2,,,made,,Jump Shot,3,30,-6,28.0,89.6,Capela 3' Jump Shot (2 PTS) (Harden 1 AST)
"=""0021500601""",2015-2016 Regular Season,2016-01-15,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Kyrie Irving,Trevor Ariza,Clint Capela,Dwight Howard,James Harden,Patrick Beverley,1,2,4,00:10:41,00:01:19,00:00:26,7,CLE,shot,Timofey Mozgov,,,,,,,,,LeBron James,2,,,made,,Driving Layup,2,-17,0,26.7,5.0,James 2' Driving Layup (2 PTS) (Mozgov 1 AST)
"=""0021500601""",2015-2016 Regular Season,2016-01-15,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Kyrie Irving,Trevor Ariza,Clint Capela,Dwight Howard,James Harden,Patrick Beverley,1,2,6,00:10:26,00:01:34,00:00:15,8,HOU,shot,,,,,,,,,,Dwight Howard,2,,,made,,Turnaround Hook Shot,6,-63,8,18.7,88.2,Howard 6' Turnaround Hook Shot (2 PTS)
"=""0021500601""",2015-2016 Regular Season,2016-01-15,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Kyrie Irving,Trevor Ariza,Clint Capela,Dwight Howard,James Harden,Patrick Beverley,1,4,6,00:10:01,00:01:59,00:00:25,9,CLE,shot,,,,,,,,,,J.R. Smith,2,,,made,,Floating Jump Shot,8,69,46,18.1,9.6,Smith 8' Floating Jump Shot (2 PTS)
