game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,0,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,1,DET,jump ball,,Nikola Vucevic,Andre Drummond,,,,,,,Andre Drummond,,Ersan Ilyasova,,,,jump ball,,,,,,Jump Ball Drummond vs. Vucevic: Tip to Ilyasova
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,00:11:42,00:00:18,00:00:18,2,DET,miss,,,,,,,,,,Marcus Morris,0,,,missed,,Jump Shot,17,171,-1,42.1,89.1,MISS Marc Morris 17' Jump Shot
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,00:11:42,00:00:18,00:00:00,3,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PISTONS Rebound
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,00:11:29,00:00:31,00:00:13,4,DET,miss,,,,,,,,,,Andre Drummond,0,,,missed,,Hook Shot,4,9,38,25.9,85.2,MISS Drummond 4' Hook Shot
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,0,0,00:11:29,00:00:31,00:00:00,5,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,2,0,00:11:06,00:00:54,00:00:23,6,ORL,shot,Victor Oladipo,,,,,,,,,Nikola Vucevic,2,,,made,,Jump Shot,7,-65,0,31.5,5.0,Vucevic 7' Jump Shot (2 PTS) (Oladipo 1 AST)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,2,2,00:10:39,00:01:21,00:00:27,7,DET,shot,Kentavious Caldwell-Pope,,,,,,,,,Ersan Ilyasova,2,,,made,,Jump Shot,9,89,-1,33.9,89.1,Ilyasova 9' Jump Shot (2 PTS) (Caldwell-Pope 1 AST)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,2,2,00:10:25,00:01:35,00:00:14,8,ORL,turnover,,,,,,,,,,Evan Fournier,,,lost ball ,,Ersan Ilyasova,lost ball ,,,,,,"Fournier Lost Ball Turnover (P1.T1), Ilyasova STEAL (1 STL)"
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,2,4,00:10:10,00:01:50,00:00:15,9,DET,shot,,,,,,,,,,Reggie Jackson,2,,,made,,Jump Shot,13,-74,101,17.6,78.9,Jackson 13' Jump Shot (2 PTS)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,4,4,00:09:52,00:02:08,00:00:18,10,ORL,shot,,,,,,,,,,Nikola Vucevic,2,,,made,,Hook Shot,6,1,57,24.9,10.7,Vucevic 6' Hook Shot (4 PTS)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,4,4,00:09:39,00:02:21,00:00:13,11,DET,miss,,,,,,,,,,Ersan Ilyasova,0,,,missed,,Jump Shot,25,-130,218,12.0,67.2,MISS Ilyasova 25' 3PT Jump Shot
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,4,4,00:09:39,00:02:21,00:00:00,12,ORL,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,4,4,00:09:20,00:02:40,00:00:19,13,ORL,miss,,,,Reggie Jackson,,,,,,Nikola Vucevic,0,,,missed,,Dunk,0,0,1,25.0,5.1,"MISS Vucevic  Dunk, Jackson BLOCK (1 BLK)"
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,4,4,00:09:18,00:02:42,00:00:02,14,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,4,7,00:09:09,00:02:51,00:00:09,15,DET,shot,Ersan Ilyasova,,,,,,,,,Kentavious Caldwell-Pope,3,,,made,,Jump Shot,26,-135,223,11.5,66.7,Caldwell-Pope 26' 3PT Jump Shot (3 PTS) (Ilyasova 1 AST)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,7,00:08:48,00:03:12,00:00:21,16,ORL,shot,Evan Fournier,,,,,,,,,Nikola Vucevic,2,,,made,,Jump Shot,17,164,26,8.6,7.6,Vucevic 17' Jump Shot (6 PTS) (Fournier 1 AST)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:08:30,00:03:30,00:00:18,17,DET,shot,,,,,,,,,,Kentavious Caldwell-Pope,3,,,made,,Jump Shot,25,228,92,47.8,79.8,Caldwell-Pope 25' 3PT Jump Shot (6 PTS)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:08:17,00:03:43,00:00:13,18,ORL,miss,,,,,,,,,,Evan Fournier,0,,,missed,,Jump Shot,25,-228,101,47.8,15.1,MISS Fournier 25' 3PT Jump Shot
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:08:16,00:03:44,00:00:01,19,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:2)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:08:13,00:03:47,00:00:03,20,DET,turnover,,,,,,,,,,Reggie Jackson,,,bad pass ,,Evan Fournier,bad pass ,,,,,,"Fournier STEAL (1 STL), Jackson Bad Pass Turnover (P1.T1)"
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:08:02,00:03:58,00:00:11,21,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Dunk,0,0,1,25.0,5.1,MISS Vucevic  Dunk
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:08:01,00:03:59,00:00:01,22,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:3)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:07:55,00:04:05,00:00:06,23,DET,miss,,,,Channing Frye,,,,,,Reggie Jackson,0,,,missed,,Layup,3,-27,11,22.3,87.9,"Frye BLOCK (1 BLK), MISS Jackson 3' Layup"
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:07:54,00:04:06,00:00:01,24,ORL,rebound,,,,,,,,,,Channing Frye,,,,,,rebound defensive,,,,,,Frye REBOUND (Off:0 Def:1)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:07:53,00:04:07,00:00:01,45,ORL,turnover,,,,,,,,,,Channing Frye,,,poss lost ball,,Ersan Ilyasova,poss lost ball,,,,,,"Frye Poss Lost Ball Turnover (P1.T2), Ilyasova STEAL (2 STL)"
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:07:50,00:04:10,00:00:03,25,DET,turnover,,,,,,,,,,Reggie Jackson,,,bad pass ,,Victor Oladipo,bad pass ,,,,,,"Oladipo STEAL (1 STL), Jackson Bad Pass Turnover (P2.T2)"
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:07:41,00:04:19,00:00:09,26,ORL,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Layup,2,20,-1,23.0,4.9,MISS Harris 2' Layup
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,10,00:07:40,00:04:20,00:00:01,27,DET,rebound,,,,,,,,,,Reggie Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:1)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,12,00:07:35,00:04:25,00:00:05,28,DET,shot,Marcus Morris,,,,,,,,,Andre Drummond,2,,,made,,Alley Oop Dunk,0,0,1,25.0,88.9,Drummond  Alley Oop Dunk (2 PTS) (Marc Morris 1 AST)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,12,00:07:20,00:04:40,00:00:15,29,ORL,turnover,,,,,,,,,,Tobias Harris,,,bad pass ,,Andre Drummond,bad pass ,,,,,,"Harris Bad Pass Turnover (P1.T3), Drummond STEAL (1 STL)"
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,12,00:07:13,00:04:47,00:00:07,30,ORL,foul,,,,,,,,Ersan Ilyasova,,Evan Fournier,,,p.foul,,,p.foul,,,,,,Fournier P.FOUL (P1.T1) (J.Goble)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,12,00:07:08,00:04:52,00:00:05,31,ORL,violation,,,,,,,,,,Nikola Vucevic,,,,,,violation:kicked ball,,,,,,Vucevic Violation:Kicked Ball (M.Boland)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,14,00:07:00,00:05:00,00:00:08,32,DET,shot,,,,,,,,,,Reggie Jackson,2,,,made,,Jump Shot,12,-9,115,24.1,77.5,Jackson 12' Jump Shot (4 PTS)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,14,00:06:41,00:05:19,00:00:19,33,ORL,miss,,,,,,,,,,Channing Frye,0,,,missed,,Jump Shot,26,155,213,9.5,26.3,MISS Frye 26' 3PT Jump Shot
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,14,00:06:40,00:05:20,00:00:01,34,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:4)
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,14,00:06:28,00:05:32,00:00:12,35,DET,miss,,,,,,,,,,Ersan Ilyasova,0,,,missed,,Jump Shot,25,-97,232,15.3,65.8,MISS Ilyasova 25' 3PT Jump Shot
"=""0021500514""",2015-2016 Regular Season,2016-01-04,Tobias Harris,Channing Frye,Nikola Vucevic,Evan Fournier,Victor Oladipo,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,1,6,14,00:06:28,00:05:32,00:00:00,36,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound offensive,,,,,,Drummond REBOUND (Off:1 Def:4)
