"","game_id","data_set","date","a1","a2","a3","a4","a5","h1","h2","h3","h4","h5","period","away_score","home_score","remaining_time","elapsed","play_length","play_id","team","event_type","assist","away","home","block","entered","left","num","opponent","outof","player","points","possession","reason","result","steal","type","shot_distance","original_x","original_y","converted_x","converted_y","description"
"3","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,0,0,"00:11:42","00:00:18","00:00:18",2,"DET","miss","","","","","","",NA,"",NA,"Marcus Morris",0,"","","missed","","Jump Shot",17,171,-1,42.1,89.1,"MISS Marc Morris 17' Jump Shot"
"5","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,0,0,"00:11:29","00:00:31","00:00:13",4,"DET","miss","","","","","","",NA,"",NA,"Andre Drummond",0,"","","missed","","Hook Shot",4,9,38,25.9,85.2,"MISS Drummond 4' Hook Shot"
"7","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,2,0,"00:11:06","00:00:54","00:00:23",6,"ORL","shot","Victor Oladipo","","","","","",NA,"",NA,"Nikola Vucevic",2,"","","made","","Jump Shot",7,-65,0,31.5,5,"Vucevic 7' Jump Shot (2 PTS) (Oladipo 1 AST)"
"8","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,2,2,"00:10:39","00:01:21","00:00:27",7,"DET","shot","Kentavious Caldwell-Pope","","","","","",NA,"",NA,"Ersan Ilyasova",2,"","","made","","Jump Shot",9,89,-1,33.9,89.1,"Ilyasova 9' Jump Shot (2 PTS) (Caldwell-Pope 1 AST)"
"10","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,2,4,"00:10:10","00:01:50","00:00:15",9,"DET","shot","","","","","","",NA,"",NA,"Reggie Jackson",2,"","","made","","Jump Shot",13,-74,101,17.6,78.9,"Jackson 13' Jump Shot (2 PTS)"
"11","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,4,4,"00:09:52","00:02:08","00:00:18",10,"ORL","shot","","","","","","",NA,"",NA,"Nikola Vucevic",2,"","","made","","Hook Shot",6,1,57,24.9,10.7,"Vucevic 6' Hook Shot (4 PTS)"
"12","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,4,4,"00:09:39","00:02:21","00:00:13",11,"DET","miss","","","","","","",NA,"",NA,"Ersan Ilyasova",0,"","","missed","","Jump Shot",25,-130,218,12,67.2,"MISS Ilyasova 25' 3PT Jump Shot"
"14","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,4,4,"00:09:20","00:02:40","00:00:19",13,"ORL","miss","","","","Reggie Jackson","","",NA,"",NA,"Nikola Vucevic",0,"","","missed","","Dunk",0,0,1,25,5.1,"MISS Vucevic  Dunk, Jackson BLOCK (1 BLK)"
"16","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,4,7,"00:09:09","00:02:51","00:00:09",15,"DET","shot","Ersan Ilyasova","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",3,"","","made","","Jump Shot",26,-135,223,11.5,66.7,"Caldwell-Pope 26' 3PT Jump Shot (3 PTS) (Ilyasova 1 AST)"
"17","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,7,"00:08:48","00:03:12","00:00:21",16,"ORL","shot","Evan Fournier","","","","","",NA,"",NA,"Nikola Vucevic",2,"","","made","","Jump Shot",17,164,26,8.6,7.6,"Vucevic 17' Jump Shot (6 PTS) (Fournier 1 AST)"
"18","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,10,"00:08:30","00:03:30","00:00:18",17,"DET","shot","","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",3,"","","made","","Jump Shot",25,228,92,47.8,79.8,"Caldwell-Pope 25' 3PT Jump Shot (6 PTS)"
"19","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,10,"00:08:17","00:03:43","00:00:13",18,"ORL","miss","","","","","","",NA,"",NA,"Evan Fournier",0,"","","missed","","Jump Shot",25,-228,101,47.8,15.1,"MISS Fournier 25' 3PT Jump Shot"
